axis,condition,case,site,year,strategy,baseline_yield_t_ha,perturbed_yield_t_ha,yield_delta_t_ha,yield_delta_pct,baseline_irrigation_mm,perturbed_irrigation_mm,irrigation_delta_mm,irrigation_delta_pct,baseline_WP_kg_m3,perturbed_WP_kg_m3,WP_delta_kg_m3,WP_delta_pct,baseline_grow_precip_mm,perturbed_grow_precip_mm,baseline_irrigation_gt200,perturbed_irrigation_gt200,flag_changed,fc_factor,wp_factor,perturbed_soil_thfc,perturbed_soil_thwp
soil,FC-15_WP+15,case2_hampyeong,Hampyeong,2019,rainfed,7.196797,5.974091,-1.222706,-16.989588,0.0,0.0,0.0,,0.873588,0.725169,-0.148419,-16.989588,823.82,823.82,False,False,False,0.85,1.15,0.2737,0.2185
soil,FC-15_WP+15,case2_hampyeong,Hampyeong,2019,fixed_7d_80pct,7.307054,7.143275,-0.163779,-2.241376,114.189612,102.059323,-12.130289,-10.622936,0.778996,0.771513,-0.007483,-0.960604,823.82,823.82,False,False,False,0.85,1.15,0.2737,0.2185
soil,FC-15_WP+15,case2_hampyeong,Hampyeong,2019,deficit_SMT50,7.30513,7.32395,0.01882,0.257626,50.0,105.731809,55.731809,111.463618,0.835999,0.787901,-0.048098,-5.753377,823.82,823.82,False,False,False,0.85,1.15,0.2737,0.2185
soil,FC-15_WP+15,case2_hampyeong,Hampyeong,2019,deficit_SMT30,7.196797,7.061243,-0.135554,-1.883531,0.0,85.175898,85.175898,,0.873588,0.776818,-0.096771,-11.077366,823.82,823.82,False,False,False,0.85,1.15,0.2737,0.2185
soil,FC-15_WP+15,case2_hampyeong,Hampyeong,2019,full_SMT80,7.325232,7.328577,0.003345,0.045659,117.126119,152.474302,35.348183,30.17959,0.778496,0.750652,-0.027844,-3.576643,823.82,823.82,False,False,False,0.85,1.15,0.2737,0.2185
soil,FC-15_WP-15,case2_hampyeong,Hampyeong,2019,rainfed,7.196797,7.1486,-0.048196,-0.669692,0.0,0.0,0.0,,0.873588,0.867738,-0.00585,-0.669692,823.82,823.82,False,False,False,0.85,0.85,0.2737,0.1615
soil,FC-15_WP-15,case2_hampyeong,Hampyeong,2019,fixed_7d_80pct,7.307054,7.305373,-0.001681,-0.023,114.189612,106.551604,-7.638009,-6.688882,0.778996,0.78521,0.006215,0.797774,823.82,823.82,False,False,False,0.85,0.85,0.2737,0.1615
soil,FC-15_WP-15,case2_hampyeong,Hampyeong,2019,deficit_SMT50,7.30513,7.307034,0.001904,0.026065,50.0,75.0,25.0,50.0,0.835999,0.812959,-0.023041,-2.756085,823.82,823.82,False,False,False,0.85,0.85,0.2737,0.1615
soil,FC-15_WP-15,case2_hampyeong,Hampyeong,2019,deficit_SMT30,7.196797,7.236779,0.039982,0.555558,0.0,25.0,25.0,,0.873588,0.852569,-0.021019,-2.40607,823.82,823.82,False,False,False,0.85,0.85,0.2737,0.1615
soil,FC-15_WP-15,case2_hampyeong,Hampyeong,2019,full_SMT80,7.325232,7.329295,0.004063,0.055464,117.126119,125.779756,8.653636,7.388306,0.778496,0.77183,-0.006667,-0.856335,823.82,823.82,False,False,False,0.85,0.85,0.2737,0.1615
soil,FC+15,case2_hampyeong,Hampyeong,2022,rainfed,7.232599,7.338672,0.106073,1.466589,0.0,0.0,0.0,,0.999461,1.014119,0.014658,1.466589,723.65,723.65,False,False,False,1.15,1.0,0.3703,0.19
soil,FC+15,case2_hampyeong,Hampyeong,2022,fixed_7d_80pct,7.407908,7.422855,0.014946,0.201763,88.836635,92.93175,4.095115,4.609714,0.911758,0.909016,-0.002742,-0.300744,723.65,723.65,False,False,False,1.15,1.0,0.3703,0.19
soil,FC+15,case2_hampyeong,Hampyeong,2022,deficit_SMT50,7.232599,7.338672,0.106073,1.466589,0.0,0.0,0.0,,0.999461,1.014119,0.014658,1.466589,723.65,723.65,False,False,False,1.15,1.0,0.3703,0.19
soil,FC+15,case2_hampyeong,Hampyeong,2022,deficit_SMT30,7.232599,7.338672,0.106073,1.466589,0.0,0.0,0.0,,0.999461,1.014119,0.014658,1.466589,723.65,723.65,False,False,False,1.15,1.0,0.3703,0.19
soil,FC+15,case2_hampyeong,Hampyeong,2022,full_SMT80,7.431667,7.42706,-0.004607,-0.061993,97.896515,66.20331,-31.693204,-32.37419,0.904595,0.940309,0.035714,3.948062,723.65,723.65,False,False,False,1.15,1.0,0.3703,0.19
soil,FC-15,case2_hampyeong,Hampyeong,2022,rainfed,7.232599,6.877452,-0.355147,-4.910368,0.0,0.0,0.0,,0.999461,0.950384,-0.049077,-4.910368,723.65,723.65,False,False,False,0.85,1.0,0.2737,0.19
soil,FC-15,case2_hampyeong,Hampyeong,2022,fixed_7d_80pct,7.407908,7.35684,-0.051068,-0.689371,88.836635,85.409698,-3.426937,-3.857572,0.911758,0.909307,-0.00245,-0.268721,723.65,723.65,False,False,False,0.85,1.0,0.2737,0.19
soil,FC-15,case2_hampyeong,Hampyeong,2022,deficit_SMT50,7.232599,7.283867,0.051268,0.708843,0.0,64.787896,64.787896,,0.999461,0.923835,-0.075626,-7.566652,723.65,723.65,False,False,False,0.85,1.0,0.2737,0.19
soil,FC-15,case2_hampyeong,Hampyeong,2022,deficit_SMT30,7.232599,6.877452,-0.355147,-4.910368,0.0,0.0,0.0,,0.999461,0.950384,-0.049077,-4.910368,723.65,723.65,False,False,False,0.85,1.0,0.2737,0.19
soil,FC-15,case2_hampyeong,Hampyeong,2022,full_SMT80,7.431667,7.437659,0.005992,0.080631,97.896515,102.641769,4.745255,4.847215,0.904595,0.900125,-0.00447,-0.494115,723.65,723.65,False,False,False,0.85,1.0,0.2737,0.19
soil,WP+15,case2_hampyeong,Hampyeong,2022,rainfed,7.232599,6.999145,-0.233454,-3.227796,0.0,0.0,0.0,,0.999461,0.9672,-0.032261,-3.227796,723.65,723.65,False,False,False,1.0,1.15,0.322,0.2185
soil,WP+15,case2_hampyeong,Hampyeong,2022,fixed_7d_80pct,7.407908,7.384835,-0.023073,-0.311462,88.836635,88.317995,-0.51864,-0.583813,0.911758,0.909498,-0.002259,-0.247787,723.65,723.65,False,False,False,1.0,1.15,0.322,0.2185
